TestExecutive(R) Version 5.0.17
SMU诊断通过  SMU Diagnostics Passed (Version 5)
 
17 JUL 17  11:17:03
C:\USERS\C919\DESKTOP\10102_WIT_P\500V.RO
 
ABT E D S
INP "Serial number" Y ser
SERIAL NUMBER
SERIAL NUMBER\500V
SEL E:\TESTFILE\report\10102_WIT_V.TXT
ACT E:\919UT.UT
  
F 500V >30M 0.1T 0.2S
  
STP
停止
测试引擎输入中断模式，按下前进继续
ENB DIG PAT DTB
  
*绝缘测试*
INP "请输入温度，湿度" Y ser
请输入温度，湿度
请输入温度，湿度\摄氏度：26.7，湿度：57%
INP "开始" Y ser
开始
开始\
F SMU       500V      30.00M              00.200S    00.100T
:      	FC 	49949 	     	      	         	   	1D-21J-P1-A
:      	   	      	00945	PASS 	 203.8M   	OHM	GND
:      	FC 	50000 	     	      	         	   	1D-21J-P1-B
:      	   	      	00945	PASS 	 295.8M   	OHM	GND
:      	FC 	50002 	     	      	         	   	1D-21J-P1-D
:      	   	      	00945	PASS 	 373.7M   	OHM	GND
:      	FC 	50003 	     	      	         	   	1D-21J-P1-E
:      	   	      	00945	PASS 	 338.2M   	OHM	GND
:      	FC 	52010 	     	      	         	   	1D-21K-P1-A
:      	   	      	00945	PASS 	 356.3M   	OHM	GND
:      	FC 	52011 	     	      	         	   	1D-21K-P1-B
:      	   	      	00945	PASS 	 387.7M   	OHM	GND
:      	FC 	52013 	     	      	         	   	1D-21K-P1-D
:      	   	      	00945	PASS 	 363.2M   	OHM	GND
:      	FC 	52014 	     	      	         	   	1D-21K-P1-E
:      	   	      	00945	PASS 	 348.8M   	OHM	GND
:      	FC 	50330 	     	      	         	   	2D-21J-P1-A
:      	   	      	00945	PASS 	 463.9M   	OHM	GND
:      	FC 	50331 	     	      	         	   	2D-21J-P1-B
:      	   	      	00945	PASS 	 467.5M   	OHM	GND
:      	FC 	50333 	     	      	         	   	2D-21J-P1-D
:      	   	      	00945	PASS 	 479.7M   	OHM	GND
:      	FC 	50334 	     	      	         	   	2D-21J-P1-E
:      	   	      	00945	PASS 	 463.6M   	OHM	GND
:      	FC 	60010 	     	      	         	   	2D-21K-P1-A
:      	   	      	00945	PASS 	 462.9M   	OHM	GND
:      	FC 	60011 	     	      	         	   	2D-21K-P1-B
:      	   	      	00945	PASS 	 468.3M   	OHM	GND
:      	FC 	60013 	     	      	         	   	2D-21K-P1-D
:      	   	      	00945	PASS 	 460.7M   	OHM	GND
:      	FC 	60014 	     	      	         	   	2D-21K-P1-E
:      	   	      	00945	PASS 	 488.3M   	OHM	GND
:      	FC 	50020 	     	      	         	   	1M-211-P1-A
:      	   	      	00945	PASS 	 412.9M   	OHM	GND
:      	FC 	50021 	     	      	         	   	1M-211-P1-B
